break,label,text
,new position,
new line,title,Dispatcher (m/f/d) for International Truck Dispatching
new line,location,Barcelona
new line,description,For our branch in Barcelona we are looking for a dispatcher (m/f/d) for international truck dispatching as soon as possible.
new line,tasks,Purchase of transport services
new line,tasks,Optimisation of partial loads
new line,tasks,Sale to our carriers
new line,tasks,Invoicing of services
new line,tasks,"Quick decisions have to be made every day, with the highest possible quality in execution. After an appropriate training period, you will be expected to solve these tasks independently."
new line,requirements,Training as a Management Assistant for Freight Forwarding and Logistic Services or similar
new line,requirements,First professional experience in operational scheduling in a freight forwarding company
new line,requirements,Good knowledge of the Office package
new line,requirements,Ability to communicate and work in a team as well as independently
new line,requirements,Business fluent German and Spanish
new line,requirements,Good knowledge of English
new line,offer,"The NEUFRA Speditions Group is an international medium-sized company with 33 branches in Europe. With more than 400 employees, we live an open corporate culture in a personal working environment. Our flat hierarchies not only promote a collegial atmosphere, but also independent work with autonomous decision-making. You can expect a future-proof job with the goal of long-term cooperation. To promote your professional and personal development, you will be offered individual further training opportunities. Furthermore, the remuneration for your performance consists of attractive salaries, which are supplemented with additional social benefits."
new line,other,
new line,partnerName,Grant Apressian
new line,partnerMobile,+34 681 128976
new line,partnerCity,08027 E-Barcelona
new line,partnerStreet,Avda. Meridiana 354 11 d
new line,partnerPhone,+34 93 6345043
new position,,
new line,title,Dispatcher (m/f/d) for National Truck Dispatching
new line,location,Berlin
new line,description,For our branch in Berlin we are looking for a dispatcher (m/f/d) for national truck dispatching as soon as possible.
new line,tasks,Purchase of transport services
new line,tasks,Optimisation of partial loads
new line,tasks,Sale to our carriers
new line,tasks,Invoicing of services
new line,tasks,"Quick decisions have to be made every day, with the highest possible quality in execution. After an appropriate training period, you will be expected to solve these tasks independently."
new line,requirements,Training as a Management Assistant for Freight Forwarding and Logistic Services or similar
new line,requirements,First professional experience in operational scheduling in a freight forwarding company
new line,requirements,Good knowledge of the Office package
new line,requirements,Ability to communicate and work in a team as well as independently
new line,requirements,Good knowledge of English
new line,offer,"The NEUFRA Speditions Group is an international medium-sized company with 33 branches in Europe. With more than 400 employees, we live an open corporate culture in a personal working environment. Our flat hierarchies not only promote a collegial atmosphere, but also independent work with autonomous decision-making. You can expect a future-proof job with the goal of long-term cooperation. To promote your professional and personal development, you will be offered individual further training opportunities. Furthermore, the remuneration for your performance consists of attractive salaries, which are supplemented with additional social benefits."
new line,other,
new line,partnerName,Dennis Maciej
new line,partnerMobile,+49 172 7298908
new line,partnerCity,13597 Berlin
new line,partnerStreet,Freiheit 13
new line,partnerPhone,+49 30 351901-10
,new position,
new line,title,Dispatcher (m/f/d) for International Truck Dispatching
new line,location,Berlin
new line,description,For our branch in Berlin we are looking for a dispatcher (m/f/d) for international truck dispatching as soon as possible.
new line,tasks,Purchase of transport services
new line,tasks,Optimisation of partial loads
new line,tasks,Sale to our carriers
new line,tasks,Invoicing of services
new line,tasks,"Quick decisions have to be made every day, with the highest possible quality in execution. After an appropriate training period, you will be expected to solve these tasks independently."
new line,requirements,Training as a Management Assistant for Freight Forwarding and Logistic Services or similar
new line,requirements,First professional experience in operational scheduling in a freight forwarding company
new line,requirements,Good knowledge of the Office package
new line,requirements,Ability to communicate and work in a team as well as independently
new line,requirements,Good knowledge of English
new line,offer,"The NEUFRA Speditions Group is an international medium-sized company with 33 branches in Europe. With more than 400 employees, we live an open corporate culture in a personal working environment. Our flat hierarchies not only promote a collegial atmosphere, but also independent work with autonomous decision-making. You can expect a future-proof job with the goal of long-term cooperation. To promote your professional and personal development, you will be offered individual further training opportunities. Furthermore, the remuneration for your performance consists of attractive salaries, which are supplemented with additional social benefits."
new line,other,
new line,partnerName,Dennis Maciej
new line,partnerMobile,+49 172 7298908
new line,partnerCity,13597 Berlin
new line,partnerStreet,Freiheit 13
new line,partnerPhone,+49 30 351901-10
,new position,
new line,title,Dispatcher (m/f/d) for International Truck Dispatching
new line,location,Bregenz
new line,description,For our branch in Bregenz we are looking for a dispatcher (m/f/d) for international truck dispatching as soon as possible.
new line,tasks,Purchase of transport services
new line,tasks,Optimisation of partial loads
new line,tasks,Sale to our carriers
new line,tasks,Invoicing of services
new line,tasks,"Quick decisions have to be made every day, with the highest possible quality in execution. After an appropriate training period, you will be expected to solve these tasks independently."
new line,requirements,Training as a Management Assistant for Freight Forwarding and Logistic Services or similar
new line,requirements,First professional experience in operational scheduling in a freight forwarding company
new line,requirements,Good knowledge of the Office package
new line,requirements,Ability to communicate and work in a team as well as independently
new line,requirements,Good knowledge of English
new line,offer,"The NEUFRA Speditions Group is an international medium-sized company with 33 branches in Europe. With more than 400 employees, we live an open corporate culture in a personal working environment. Our flat hierarchies not only promote a collegial atmosphere, but also independent work with autonomous decision-making. You can expect a future-proof job with the goal of long-term cooperation. To promote your professional and personal development, you will be offered individual further training opportunities. Furthermore, the remuneration for your performance consists of attractive salaries, which are supplemented with additional social benefits."
new line,other,
new line,partnerName,Klaus Amann
new line,partnerMobile,+43 676 88867501
new line,partnerCity,6960 A-Wolfurt
